科目,模块,章,节,知识点,考纲要求,常见考法,备注
政治,马克思主义基本原理,导论,,马克思主义的创立与发展；马克思主义的鲜明特征与当代价值,了解,,马原约24分
政治,马克思主义基本原理,世界的物质性及发展规律,,物质与意识的辩证关系；物质观、运动观、时空观,掌握,,唯物论
政治,马克思主义基本原理,世界的物质性及发展规律,,意识的起源、本质与能动作用；主观能动性与客观规律性,掌握,,
政治,马克思主义基本原理,世界的物质性及发展规律,,联系和发展的普遍性；联系与发展的基本环节（五对范畴）,掌握,,辩证法
政治,马克思主义基本原理,世界的物质性及发展规律,,对立统一规律（矛盾的同一性斗争性、普遍性特殊性、主次矛盾）,掌握,,辩证法核心，分析题高频
政治,马克思主义基本原理,世界的物质性及发展规律,,量变质变规律与否定之否定规律,掌握,,
政治,马克思主义基本原理,世界的物质性及发展规律,,唯物辩证法与科学思维方法（战略思维、辩证思维、底线思维等）,理解,,
政治,马克思主义基本原理,认识论,,实践的本质与基本结构；实践与认识的辩证关系,掌握,,认识论分析题高频
政治,马克思主义基本原理,认识论,,认识的本质与过程（感性认识与理性认识、两次飞跃）,掌握,,
政治,马克思主义基本原理,认识论,,真理的客观性、绝对性和相对性；真理与谬误；实践是检验真理的唯一标准,掌握,,
政治,马克思主义基本原理,认识论,,真理与价值的辩证统一；认识世界和改造世界,理解,,
政治,马克思主义基本原理,历史观,,社会存在与社会意识的辩证关系,掌握,,唯物史观
政治,马克思主义基本原理,历史观,,生产力与生产关系、经济基础与上层建筑的矛盾运动规律,掌握,,
政治,马克思主义基本原理,历史观,,社会形态更替；社会基本矛盾在历史发展中的作用；改革与科技的作用,理解,,
政治,马克思主义基本原理,历史观,,人民群众和个人在历史发展中的作用；群众史观,掌握,,
政治,马克思主义基本原理,政治经济学,,商品二因素与劳动二重性；价值量与价值规律,掌握,,选择题高频
政治,马克思主义基本原理,政治经济学,,货币的本质和职能；价值形式的发展,理解,,
政治,马克思主义基本原理,政治经济学,,劳动力成为商品与货币转化为资本；剩余价值的生产（绝对/相对剩余价值）,掌握,,
政治,马克思主义基本原理,政治经济学,,资本积累、资本有机构成、资本循环与周转、社会再生产,理解,,
