科目,模块,章,节,知识点,考纲要求,常见考法,备注
英语一,语言知识,词汇,大纲词汇,考纲词汇约5500词及相关词组,掌握,阅读定位与翻译写作输出,分高频/中频/低频分层背诵
英语一,语言知识,词汇,构词法,常用前缀（re-/dis-/un-/in-/pre-/anti-等）与后缀（-tion/-able/-ize等）派生,掌握,猜测生词词义,
英语一,语言知识,词汇,熟词僻义,真题高频熟词僻义（如 address处理、school学派、game猎物等）,掌握,阅读词义题/翻译,真题专项积累
英语一,语言知识,词汇,搭配,动介/形介固定搭配与习惯用法,掌握,完形搭配题,
英语一,语言知识,语法,词法,名词的数与格、代词指代、冠词、形副比较级最高级,掌握,完形语法题；阅读指代题,
英语一,语言知识,语法,动词,时态、语态（被动）、主谓一致,掌握,,
英语一,语言知识,语法,非谓语,不定式、动名词、现在/过去分词及独立主格,掌握,长难句中作定语/状语的识别,长难句核心
英语一,语言知识,语法,虚拟语气,if虚拟、wish/suggest类、含蓄虚拟,掌握,,
英语一,语言知识,语法,三大从句,定语从句（限定/非限定）、状语从句、名词性从句（主宾表同位语）,掌握,长难句主干拆分,长难句核心
英语一,语言知识,语法,特殊结构,强调句、倒装、插入语、省略、分隔、平行结构,掌握,断句与还原语序,翻译高频
英语一,完形填空,英语知识运用,题型概况,240-280词文章20空（每空0.5分共10分）,掌握,词义辨析约50%、逻辑关系约20%、搭配约20%,性价比较低可后置复习
英语一,完形填空,英语知识运用,解题技巧,上下文逻辑（转折but/however、因果、并列、递进、让步）；红花绿叶词,掌握,首段首句定基调；同现复现原则,
英语一,阅读理解,PartA传统阅读,题型概况,4篇约400词文章共20题（每题2分共40分）,掌握,题源多为经济学人/卫报/时代周刊等,得阅读者得天下
英语一,阅读理解,PartA传统阅读,细节题,根据题干关键词定位原文；同义替换识别,掌握,正确项=原文同义改写；干扰项特征（张冠李戴/偷换概念/无中生有/过度推断）,占比最大
英语一,阅读理解,PartA传统阅读,主旨题,理解主旨要义；标题选择,掌握,首末段+各段首句串联；排除以偏概全,
英语一,阅读理解,PartA传统阅读,推理题,判断、推理和引申（infer/imply/suggest）,掌握,贴近原文最少推理原则,
英语一,阅读理解,PartA传统阅读,词义句意题,根据上下文推测生词/短语/句子的含义,掌握,代入上下文验证；本义往往非答案,
英语一,阅读理解,PartA传统阅读,态度题,作者/某人的意图、观点或态度（attitude）,掌握,识别褒贬中立词（objective/skeptical/supportive等）,
英语一,阅读理解,PartA传统阅读,结构题,文章总体结构与上下文关系；例证题（举例目的看观点）,掌握,例子服务于前后的论点,
英语一,阅读理解,PartB新题型,七选五,从7个选项中选5个填入文中空缺（每题2分共10分）,掌握,前后句衔接线索（代词/复现词/逻辑词）,近年主考题型
英语一,阅读理解,PartB新题型,排序题,7-8个段落重新排序（部分已给定）,掌握,首尾段特征；段间衔接词,备选题型
英语一,阅读理解,PartB新题型,标题匹配,为5个段落选小标题,掌握,段落主题句概括,备选题型
英语一,阅读理解,PartC翻译,题型概况,约400词文章中5个画线长难句英译汉（每句2分共10分）,掌握,采分点：句子结构+词义选择,
英语一,阅读理解,PartC翻译,翻译技巧,定语从句前置/后置拆译；被动转主动；代词还原；抽象名词具体化,掌握,长难句先拆主干再组译,
英语一,阅读理解,PartC翻译,翻译技巧,词性转换、增词减词、语序调整（状语位置）,掌握,,
英语一,写作,PartA小作文,应用文,约100词书信类：建议信、投诉信、道歉信、邀请信、推荐信、求职信、感谢信、辞职信,掌握,格式（称呼/落款）与语域（正式/非正式）,10分
英语一,写作,PartA小作文,应用文,通知（Notice）、告示、备忘录,掌握,标题+正文+署名格式,近年考过通知
英语一,写作,PartB大作文,图画作文,150-200词图画作文（20分）：描图-揭示寓意-评论/建议三段式,掌握,漫画类主题：品德修养/社会现象/文化交流/科技生活,英一固定考图画
英语一,写作,PartB大作文,常用表达,图画描述句型；观点表达；举例论证；原因分析；建议措施句型,掌握,避免模板痕迹过重,
英语一,写作,PartB大作文,语言质量,句式多样性（从句/非谓语/倒装）、词汇丰富度、连贯衔接,掌握,一二类文的语言标准,
英语一,考试形式,试卷结构,分值分布,完形10分+阅读A40分+新题型10分+翻译10分+小作文10分+大作文20分=100分,了解,考试时间180分钟,建议时间分配：阅读70-80分钟/写作50分钟
