科目,模块,章,节,知识点,考纲要求,常见考法,备注
数学一,高等数学,函数极限连续,函数,函数的概念与表示法（解析式、分段、隐式、参数式）,理解,由应用问题建立函数关系,
数学一,高等数学,函数极限连续,函数,函数的有界性、单调性、周期性、奇偶性,理解,判断复合后函数的奇偶/周期性,选择题
数学一,高等数学,函数极限连续,函数,复合函数与反函数,理解,求 f(g(x)) 的表达式/定义域；反函数存在条件,
数学一,高等数学,函数极限连续,函数,基本初等函数的性质与图形,掌握,幂指对三角反三角的图像与不等式关系,
数学一,高等数学,函数极限连续,极限概念,数列极限的 ε-N 定义与性质（唯一性、有界性、保号性）,理解,保号性推局部性质,证明题基础
数学一,高等数学,函数极限连续,极限概念,函数极限的 ε-δ 定义与性质；左极限与右极限,理解,分段点处极限存在⇔左右极限相等,
数学一,高等数学,函数极限连续,极限概念,极限存在与子列/单侧极限的关系,理解,举反例判断命题真假,选择题
数学一,高等数学,函数极限连续,无穷小与无穷大,无穷小的定义、性质与阶的比较（高阶/低阶/同阶/等价）,掌握,给定极限反求参数或确定无穷小阶数,高频
数学一,高等数学,函数极限连续,无穷小与无穷大,常用等价无穷小替换公式（sinx~x、1-cosx~x²/2、ln(1+x)~x、e^x-1~x、(1+x)^a-1~ax、x-sinx~x³/6、tanx-x~x³/3 等）,掌握,乘除因子中直接替换求极限,极高频
数学一,高等数学,函数极限连续,无穷小与无穷大,无穷大的概念、与无穷小的关系；无穷大的比较,理解,x→∞时幂/指/对数增长速度比较,
数学一,高等数学,函数极限连续,极限计算,极限四则运算法则及存在性讨论,掌握,已知和/积的极限，判断各自极限存在性,选择题
数学一,高等数学,函数极限连续,极限计算,两个重要极限及其变形,掌握,1^∞ 型化为 e 的指数形式 lim(1+u)^(1/u),极高频
数学一,高等数学,函数极限连续,极限计算,夹逼准则求极限,掌握,n项和式极限（含定积分定义对照）,大题
数学一,高等数学,函数极限连续,极限计算,单调有界准则证明数列极限存在,掌握,递推数列 x_{n+1}=f(x_n) 先证单调有界再求极限,高频大题
数学一,高等数学,函数极限连续,极限计算,七种未定式（0/0、∞/∞、0·∞、∞-∞、1^∞、0^0、∞^0）的处理策略,掌握,通分/取对数/换元转化后用洛必达或泰勒,极高频
数学一,高等数学,函数极限连续,极限计算,含变限积分、含参数的极限,掌握,洛必达+变限积分求导；由极限值反求参数a、b,高频大题
数学一,高等数学,函数极限连续,连续性,函数连续的定义（增量式/极限式）；左连续与右连续,理解,分段函数在分段点的连续性讨论,
数学一,高等数学,函数极限连续,连续性,间断点的分类与判别（可去、跳跃、无穷、振荡）,会,找出函数全部间断点并分类,高频选择
数学一,高等数学,函数极限连续,连续性,连续函数运算性质与初等函数连续性,了解,,
数学一,高等数学,函数极限连续,连续性,闭区间连续函数性质：有界性、最值定理、介值定理、零点定理,理解,证明方程根的存在性；结合罗尔定理证明,证明题高频
数学一,高等数学,一元函数微分学,导数概念,导数定义（差商极限）、左右导数,理解,用定义讨论分段函数/含绝对值函数在一点可导性,极高频选择
数学一,高等数学,一元函数微分学,导数概念,可导与连续的关系,理解,可导⇒连续反之不然的反例,
