科目,模块,章,节,知识点,考纲要求,常见考法,备注
408,数据结构,绪论,基本概念,数据、数据元素、数据项、数据对象、数据结构的概念,理解,概念辨析,
408,数据结构,绪论,基本概念,逻辑结构（集合/线性/树形/图状）与存储结构（顺序/链式/索引/散列）,掌握,逻辑结构与存储结构的区分与搭配,选择题
408,数据结构,绪论,基本概念,抽象数据类型 ADT,了解,,
408,数据结构,绪论,算法分析,算法的五个特性；好算法的目标,理解,,
408,数据结构,绪论,算法分析,时间复杂度渐进分析（O 记号）；常见复杂度阶排序,掌握,多重循环/递归程序段的复杂度计算,极高频选择
408,数据结构,绪论,算法分析,空间复杂度；递归的栈空间开销,掌握,,
408,数据结构,线性表,顺序表,顺序表的存储结构与随机存取特性,掌握,,
408,数据结构,线性表,顺序表,顺序表插入/删除的实现与平均移动次数（n/2、(n-1)/2）,掌握,等概率下移动元素期望的推导,高频
408,数据结构,线性表,链表,单链表的定义、头插法/尾插法建表,掌握,带头结点与不带头结点的区别,
408,数据结构,线性表,链表,单链表的查找、插入、删除及边界处理,掌握,算法题：删除重复/逆置/找倒数第k个,极高频算法题
408,数据结构,线性表,链表,双链表、循环链表、静态链表的结构与操作,掌握,双链表插入删除的指针修改顺序,高频选择
408,数据结构,线性表,综合应用,顺序表与链表的比较（存取方式/空间/时间）,掌握,按场景选择存储结构,
408,数据结构,线性表,综合应用,两个有序表的归并；原地操作类算法,掌握,双指针技巧；空间复杂度 O(1) 要求,算法题热点
408,数据结构,栈队列和数组,栈,栈的定义、特性（LIFO）及基本操作,掌握,,
408,数据结构,栈队列和数组,栈,顺序栈与链栈的实现；共享栈,掌握,栈满/栈空条件,
408,数据结构,栈队列和数组,栈,出入栈合法序列的判定与计数（卡特兰数 C(2n，n)/(n+1)）,掌握,给定入栈序列判断可能的出栈序列,极高频选择
408,数据结构,栈队列和数组,队列,队列的定义、特性（FIFO）及基本操作,掌握,,
408,数据结构,栈队列和数组,队列,循环队列：判满判空方案（牺牲一格/计数器/标志位）、下标计算,掌握,front/rear 指针位置与元素个数计算,极高频选择
408,数据结构,栈队列和数组,队列,链式队列；双端队列（输入/输出受限）,掌握,双端队列合法输出序列判定,高频
408,数据结构,栈队列和数组,应用,栈的应用：括号匹配、表达式求值（中缀转后缀）、递归消除,掌握,后缀表达式求值过程模拟,高频
408,数据结构,栈队列和数组,应用,队列的应用：层次遍历、缓冲区、页面置换,理解,,
408,数据结构,栈队列和数组,数组与矩阵,多维数组按行/按列存储的地址计算,掌握,给定下标求存储地址,高频计算
408,数据结构,栈队列和数组,数组与矩阵,对称矩阵、上下三角矩阵、三对角矩阵的压缩存储与下标映射,掌握,aij 与一维数组 k 的换算公式,极高频计算
408,数据结构,栈队列和数组,数组与矩阵,稀疏矩阵：三元组表与十字链表,了解,,
408,数据结构,串,模式匹配,朴素模式匹配及最坏复杂度 O(mn),掌握,比较次数计算,
408,数据结构,串,模式匹配,KMP：next 数组定义与手工求法,掌握,给定模式串写 next（下标从0或1两种约定）,极高频
408,数据结构,串,模式匹配,KMP 匹配过程与复杂度 O(m+n)；nextval 改进,掌握,匹配失败后指针移动位置,高频
408,数据结构,树与二叉树,树基础,树的定义与基本术语（度、层次、高度、路径、森林）,掌握,结点数=总度数+1,
408,数据结构,树与二叉树,树基础,树的性质：度为m的树第i层至多 m^(i-1) 个结点等,掌握,由叶子数/度数反求结点数,高频计算
408,数据结构,树与二叉树,二叉树,二叉树定义及与度为2的树的区别；满二叉树与完全二叉树,掌握,,
408,数据结构,树与二叉树,二叉树,二叉树五条性质（n0=n2+1、第i层至多2^(i-1)、高h至多2^h-1、完全二叉树编号性质、n个结点完全二叉树高度⌈log2(n+1)⌉）,掌握,n0=n2+1 的各种变形计算,极高频计算
408,数据结构,树与二叉树,二叉树,二叉树顺序存储（完全二叉树编号）与二叉链表存储；n+1个空链域,掌握,,
408,数据结构,树与二叉树,遍历,先序/中序/后序遍历的递归与非递归实现（栈）,掌握,非递归的入出栈过程,极高频
408,数据结构,树与二叉树,遍历,层次遍历（队列实现）,掌握,,
408,数据结构,树与二叉树,遍历,由先序+中序 / 后序+中序 / 层次+中序唯一确定二叉树,掌握,构造二叉树并写出另一遍历序列,极高频
408,数据结构,树与二叉树,遍历,遍历的应用：求树高/结点数/复制/判断完全二叉树,掌握,算法设计题,
408,数据结构,树与二叉树,线索二叉树,线索化的定义（前驱后继）与中序线索二叉树构造,掌握,画出线索化后的指针指向,高频
408,数据结构,树与二叉树,线索二叉树,中序线索树上找前驱/后继,掌握,,
408,数据结构,树与二叉树,树和森林,树的存储：双亲表示法、孩子表示法、孩子兄弟（左孩子右兄弟）表示法,掌握,孩子兄弟表示下树与二叉树形态对应,高频
408,数据结构,树与二叉树,树和森林,树/森林与二叉树的相互转换,掌握,森林遍历与对应二叉树遍历的关系,高频
408,数据结构,树与二叉树,树和森林,树和森林的先根/后根（中序）遍历,掌握,,
408,数据结构,树与二叉树,哈夫曼树,哈夫曼树的构造过程与 WPL 计算,掌握,构造并计算带权路径长度,极高频计算
408,数据结构,树与二叉树,哈夫曼树,哈夫曼编码（前缀码）的构造与平均码长,掌握,由字符频率求编码与总长,高频
408,数据结构,树与二叉树,并查集,并查集的存储（双亲数组）、Find/Union 操作及优化（按秩合并/路径压缩）,掌握,操作后数组内容/树形态,高频
408,数据结构,图,图基础,图的基本概念：有向/无向、完全图、子图、连通分量、强连通分量、生成树,掌握,n顶点连通图至少n-1条边等边界计算,高频选择
408,数据结构,图,图基础,顶点的度、入度与出度；握手定理,掌握,,
408,数据结构,图,存储结构,邻接矩阵：结构、性质（A^n 的含义）、空间 O(V²),掌握,无向图矩阵对称；行和=出度,
408,数据结构,图,存储结构,邻接表：结构与空间 O(V+E)；逆邻接表,掌握,邻接表下遍历序列不唯一,高频
408,数据结构,图,存储结构,十字链表（有向图）与邻接多重表（无向图）,了解,,
408,数据结构,图,遍历,BFS：算法过程、队列辅助、复杂度（邻接表O(V+E)/矩阵O(V²)）,掌握,写出BFS序列；BFS求无权图最短路,极高频
408,数据结构,图,遍历,DFS：算法过程、递归/栈实现、复杂度,掌握,写出DFS序列；DFS生成树,极高频
408,数据结构,图,遍历,遍历与连通性：连通分量计数、判环,掌握,调用遍历函数次数=连通分量数,高频
408,数据结构,图,最小生成树,MST 性质（切分定理）；MST 唯一性条件,理解,权值互异则MST唯一,选择题
408,数据结构,图,最小生成树,Prim 算法过程与复杂度 O(V²)（适合稠密图）,掌握,逐步加入顶点的过程模拟,极高频
408,数据结构,图,最小生成树,Kruskal 算法过程与复杂度 O(ElogE)（适合稀疏图）,掌握,按权排序逐边加入（并查集判环）,极高频
408,数据结构,图,最短路径,BFS 求单源最短路（无权图）,掌握,,
408,数据结构,图,最短路径,Dijkstra 算法：过程表格、复杂度、不适用负权,掌握,填 dist/path 表格逐步模拟,极高频大题
408,数据结构,图,最短路径,Floyd 算法：动态规划思想、三重循环、复杂度 O(V³),掌握,矩阵迭代一两轮的结果,高频
408,数据结构,图,有向无环图,AOV 网与拓扑排序（入度法/DFS法）；拓扑序列唯一性,掌握,写出所有/某个拓扑序列,极高频
408,数据结构,图,有向无环图,DAG 描述表达式,掌握,公共子表达式合并的顶点数,高频选择
408,数据结构,图,有向无环图,AOE 网与关键路径：ve/vl/e/l 计算、关键活动,掌握,求关键路径与工期；缩短工期分析,高频大题
408,数据结构,查找,基础,查找表、静态/动态查找、平均查找长度 ASL 的定义,掌握,成功/失败 ASL 分别计算,
408,数据结构,查找,线性结构查找,顺序查找（一般表/有序表）及 ASL,掌握,,
408,数据结构,查找,线性结构查找,折半查找：过程、判定树构造、ASL、比较次数上限 ⌈log2(n+1)⌉,掌握,画判定树；查找失败的比较次数,极高频
408,数据结构,查找,线性结构查找,分块查找（索引顺序查找）及 ASL,掌握,最优块长 √n,
408,数据结构,查找,树形结构查找,二叉排序树 BST：定义（中序有序）、查找、插入、构造,掌握,依序列构造BST求ASL,极高频
408,数据结构,查找,树形结构查找,BST 删除操作（叶子/单子树/双子树三种情形）,掌握,删除后用直接前驱/后继替代,高频
408,数据结构,查找,树形结构查找,AVL 树：平衡因子、四种旋转（LL/RR/LR/RL）、插入调整,掌握,插入后画出调整结果,极高频
408,数据结构,查找,树形结构查找,AVL 的删除；含n个结点AVL最大深度、深度h最少结点数递推 N(h)=N(h-1)+N(h-2)+1,掌握,,高频计算
408,数据结构,查找,树形结构查找,红黑树：定义（五条性质）、与AVL比较、插入基本过程,了解,判断合法红黑树；黑高性质,2022新增
408,数据结构,查找,B树和B+树,B树定义（m阶：根≥2、非根≥⌈m/2⌉棵子树、所有叶同层）,掌握,给定阶数判断合法B树；关键字数范围,极高频
408,数据结构,查找,B树和B+树,B树的查找、插入（分裂）、删除（借位/合并）,掌握,插入/删除后的树形态,高频
408,数据结构,查找,B树和B+树,B+树的定义、与B树的区别；数据库索引背景,了解,叶结点链表；非叶仅索引,高频选择
408,数据结构,查找,散列表,散列函数构造：除留余数法、直接定址法等,掌握,,
408,数据结构,查找,散列表,冲突处理：开放定址（线性探测/平方探测/双散列）、拉链法,掌握,构造散列表并计算探测序列,极高频
408,数据结构,查找,散列表,散列表成功/失败 ASL 计算；装填因子 α 的影响,掌握,失败ASL的除数=模数（探测到空）,极高频计算
408,数据结构,查找,散列表,删除操作（惰性删除）与聚集现象,理解,,
408,数据结构,排序,基础,排序稳定性定义；内部/外部排序分类,掌握,判断算法稳定性,
408,数据结构,排序,插入类,直接插入排序：过程、复杂度（最好O(n)最坏O(n²)）、稳定,掌握,一趟后/若干趟后的序列状态,高频
408,数据结构,排序,插入类,折半插入排序：比较次数O(nlogn)移动不变,掌握,,
408,数据结构,排序,插入类,希尔排序：增量分组思想、不稳定；无精确复杂度要求,掌握,给定增量序列写一趟结果,高频
408,数据结构,排序,交换类,冒泡排序：过程、提前结束标志、稳定,掌握,,
408,数据结构,排序,交换类,快速排序：一趟划分（枢轴归位）、递归、复杂度O(nlogn)~O(n²)、空间O(logn)、不稳定,掌握,判断某序列是否可能是若干趟快排结果（每趟至少一个元素归位）,极高频
408,数据结构,排序,交换类,快排最坏情形（有序输入）与优化（三者取中、随机枢轴）,理解,,
408,数据结构,排序,选择类,简单选择排序：比较次数固定n(n-1)/2、不稳定,掌握,,
408,数据结构,排序,选择类,堆的定义（大根/小根）；判断序列是否为堆,掌握,数组下标父子关系 i 与 2i/2i+1,极高频
408,数据结构,排序,选择类,建堆（自下而上调整）、堆的插入与删除、堆排序过程；复杂度O(nlogn)、不稳定,掌握,建堆后数组/删除堆顶后调整过程,极高频
408,数据结构,排序,归并与基数,二路归并排序：过程、复杂度O(nlogn)、空间O(n)、稳定,掌握,第k趟归并后子表长度,高频
408,数据结构,排序,归并与基数,基数排序：LSD分配收集过程、复杂度O(d(n+r))、稳定,掌握,一趟分配收集后的序列,高频
408,数据结构,排序,比较与选用,各排序算法时间/空间/稳定性对照表,掌握,根据序列特点选算法；由中间状态反推算法,极高频选择
408,数据结构,排序,外部排序,外部排序基本流程；归并趟数 S=⌈log_k(r)⌉ 与 I/O 次数计算,掌握,增大k或减少初始归并段以减少IO,高频计算
408,数据结构,排序,外部排序,败者树（k路归并选择）;比较次数分析,了解,,
408,数据结构,排序,外部排序,置换-选择排序生成更长初始归并段,了解,归并段平均长度2w,
408,数据结构,排序,外部排序,最佳归并树（哈夫曼思想）与补虚段,掌握,补虚段数量计算,高频
408,计算机组成原理,计算机系统概述,基本组成,冯·诺依曼机特点（存储程序、五大部件）,掌握,,
408,计算机组成原理,计算机系统概述,基本组成,各部件功能：存储器（MAR/MDR）、运算器（ACC/MQ/X）、控制器（PC/IR/CU）,掌握,MAR/MDR位数与存储容量的关系,极高频
408,计算机组成原理,计算机系统概述,基本组成,指令执行过程：取指-译码-执行；指令和数据以地址区分,掌握,取指阶段 PC→MAR→存储器→MDR→IR,高频
408,计算机组成原理,计算机系统概述,层次结构,计算机系统层次结构；三个级别的语言（机器/汇编/高级）,了解,编译、汇编、解释的区别,
408,计算机组成原理,计算机系统概述,性能指标,字长、总线宽度、主存容量的概念,掌握,,
408,计算机组成原理,计算机系统概述,性能指标,主频、时钟周期、CPI、IPS、MIPS、FLOPS,掌握,CPU执行时间=指令数×CPI/主频,极高频计算
408,计算机组成原理,计算机系统概述,性能指标,基准程序；Amdahl定律思想,了解,加速比计算,
408,计算机组成原理,数据的表示和运算,数制与编码,进位计数制及二/八/十/十六进制转换,掌握,,基础
408,计算机组成原理,数据的表示和运算,数制与编码,定点数编码：原码、反码、补码、移码的定义与表示范围,掌握,n位补码范围 -2^(n-1)~2^(n-1)-1；-0表示,极高频
408,计算机组成原理,数据的表示和运算,数制与编码,补码与真值转换、各码制间转换,掌握,由十六进制机器数求真值,高频
408,计算机组成原理,数据的表示和运算,数制与编码,C语言整型（unsigned/short/int/long）及强制类型转换（截断/符号扩展/零扩展）,掌握,signed与unsigned比较/赋值后的值,极高频
408,计算机组成原理,数据的表示和运算,定点运算,补码加减运算及溢出判断（单符号位/双符号位/进位法）,掌握,判断运算结果是否溢出,极高频
408,计算机组成原理,数据的表示和运算,定点运算,移位运算：算术移位、逻辑移位、循环移位,掌握,移位与乘除2的关系及溢出,
408,计算机组成原理,数据的表示和运算,定点运算,无符号乘法/除法基本原理；补码乘法（布斯算法）概念,了解,,近年弱化
